Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
39,24201,Expert Systems with Applications,journal,09574174,0.443,Q2,225,220,1273,124,220,0.52,24.48,United Kingdom,Western Europe,Elsevier Ltd.,1990-2022,Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2),2000
40,26529,Fuzzy Sets and Systems,journal,01650114,0.441,Q2,174,906,5329,513,906,0.44,16.55,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q2); Logic (Q3),2000
41,25621,Journal of Parallel and Distributed Computing,journal,"07437315, 10960848",0.436,Q2,92,284,1585,316,283,0.91,23.66,United States,Northern America,Academic Press Inc.,1984-2022,Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2),2000
43,24825,Pattern Recognition Letters,journal,01678655,0.426,Q2,163,457,1750,450,456,1.0,15.49,Netherlands,Western Europe,Elsevier,1982-2021,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2); Signal Processing (Q3),2000
44,23670,Annals of Mathematics and Artificial Intelligence,journal,"15737470, 10122443",0.424,Q2,56,116,1249,76,116,0.86,46.26,Netherlands,Western Europe,Springer Netherlands,1990-2021,Artificial Intelligence (Q2); Applied Mathematics (Q3),2000
45,11300153726,Intelligent Data Analysis,journal,"1088467X, 15714128",0.416,Q2,48,84,763,76,71,0.69,21.19,Netherlands,Western Europe,IOS Press BV,1997-2021,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Theoretical Computer Science (Q3),2000
46,23673,Applied Artificial Intelligence,journal,"10876545, 08839514",0.413,Q2,59,102,1180,122,102,1.38,28.1,United Kingdom,Western Europe,Taylor and Francis Ltd.,1987-2021,Artificial Intelligence (Q2),2000
47,24286,International Journal of Approximate Reasoning,journal,"0888613X, 18734731",0.394,Q2,100,106,949,58,106,0.47,24.97,United States,Northern America,Elsevier Inc.,"1974, 1987-2021",Artificial Intelligence (Q2); Software (Q2); Applied Mathematics (Q3); Theoretical Computer Science (Q3),2000
48,15631,International Journal of Information Management,journal,02684012,0.394,-,132,96,860,78,96,0.74,28.67,United Kingdom,Western Europe,Elsevier Ltd.,"1970, 1986-2022",Computer Networks and Communications (Q2); Information Systems (Q2); Library and Information Sciences (Q2),2000
49,24175,Constraints,journal,"15729354, 13837133",0.384,Q2,46,60,419,56,60,0.8,29.93,Netherlands,Western Europe,Springer Netherlands,1996-2021,Artificial Intelligence (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q4),2000
50,26803,Journal of Pragmatics,journal,03782166,0.377,Q2,103,193,3157,75,193,0.39,49.33,Netherlands,Western Europe,Elsevier,1977-2021,Artificial Intelligence (Q2); Linguistics and Language (Q2),2000
51,23640,Advanced Engineering Informatics,journal,14740346,0.366,Q2,90,113,691,104,113,1.01,25.59,United Kingdom,Western Europe,Elsevier Ltd.,2002-2021,Artificial Intelligence (Q2); Information Systems (Q2),2000
52,23678,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",journal,"08900604, 14691760",0.359,Q2,54,102,723,72,100,0.57,25.82,United Kingdom,Western Europe,Cambridge University Press,1987-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2),2000
53,24363,Journal of Intelligent Manufacturing,journal,"15728145, 09565515",0.355,Q2,85,148,940,77,148,0.45,22.93,Netherlands,Western Europe,Springer Netherlands,1990-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Software (Q2),2000
54,24306,Digital Signal Processing: A Review Journal,journal,"10954333, 10512004",0.354,-,79,65,441,28,65,0.54,20.05,United States,Northern America,Elsevier Inc.,1991-2022,Electrical and Electronic Engineering (Q2); Signal Processing (Q3),2000
55,24173,Connection Science,journal,"13600494, 09540091",0.346,Q3,44,53,592,39,53,1.0,42.29,United Kingdom,Western Europe,Taylor and Francis AS,1989-2021,Software (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3),2000
56,24807,Neurocomputing,journal,09252312,0.333,Q3,157,354,3009,250,344,0.66,13.62,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Cognitive Neuroscience (Q4),2000
57,23617,AI Communications,journal,09217126,0.326,Q3,40,51,481,45,51,0.75,26.72,Netherlands,Western Europe,IOS Press BV,1987-2021,Artificial Intelligence (Q3),2000
58,24357,Journal of Experimental and Theoretical Artificial Intelligence,journal,"13623079, 0952813X",0.326,Q3,45,91,897,61,91,0.42,27.18,United Kingdom,Western Europe,Taylor and Francis Ltd.,1989-2021,Software (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3),2000
59,24310,International Journal of Pattern Recognition and Artificial Intelligence,journal,02180014,0.319,Q3,57,184,1156,170,184,0.75,20.64,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1995-2021,Software (Q2); Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3),2000
60,26138,Parallel Computing,journal,01678191,0.31,Q3,69,363,2675,265,359,0.7,29.08,Netherlands,Western Europe,Elsevier,1984-2021,Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Theoretical Computer Science (Q3),2000
61,24326,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",journal,02184885,0.294,Q3,61,120,867,38,120,0.14,20.16,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Control and Systems Engineering (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Software (Q3),2000
62,15134,Information Sciences,journal,00200255,0.286,Q3,194,386,2602,181,386,0.49,20.49,United States,Northern America,Elsevier Inc.,1968-2022,Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems and Management (Q3); Software (Q3); Theoretical Computer Science (Q3),2000
63,36450,Design Studies,journal,0142694X,0.278,Q3,98,80,787,71,80,0.94,27.14,United Kingdom,Western Europe,Elsevier Ltd.,1979-2021,Architecture (Q1); Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Arts and Humanities (miscellaneous) (Q3); Computer Science Applications (Q3),2000
64,19270,International Journal of Software Engineering and Knowledge Engineering,journal,02181940,0.276,Q3,36,85,893,47,85,0.53,24.81,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Software (Q3),2000
65,23737,Computational Intelligence,journal,"08247935, 14678640",0.272,Q3,53,65,760,45,65,0.69,28.15,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2021,Artificial Intelligence (Q3); Computational Mathematics (Q4),2000
66,24360,Journal of Intelligent and Robotic Systems: Theory and Applications,journal,"15730409, 09210296",0.268,Q3,82,179,1389,82,179,0.4,23.95,Netherlands,Western Europe,Springer Netherlands,1988-2021,Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Artificial Intelligence (Q3); Software (Q3),2000
67,24806,Neural Processing Letters,journal,"13704621, 1573773X",0.265,Q3,58,131,601,65,131,0.41,13.98,Netherlands,Western Europe,Springer Netherlands,1994-2021,Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3),2000
69,24182,Engineering Applications of Artificial Intelligence,journal,09521976,0.246,Q3,114,181,1231,102,181,0.56,18.94,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3),2000
70,24822,Pattern Analysis and Applications,journal,"1433755X, 14337541",0.243,Q3,58,49,881,45,49,0.92,31.46,United Kingdom,Western Europe,Springer London,1998-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3),2000
72,24777,Minds and Machines,journal,"09246495, 15728641",0.235,Q3,44,58,671,24,58,0.39,29.17,Netherlands,Western Europe,Springer Netherlands,1991-2021,Philosophy (Q2); Artificial Intelligence (Q3),2000
73,23674,Applied Intelligence,journal,"0924669X, 15737497",0.231,Q3,72,89,1116,51,89,0.6,32.82,Netherlands,Western Europe,Springer Netherlands,1991-2021,Artificial Intelligence (Q3),2000
74,24772,Knowledge-Based Systems,journal,09507051,0.229,Q3,135,126,969,59,126,0.5,19.0,Netherlands,Western Europe,Elsevier,1987-2021,Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems and Management (Q3); Software (Q3),2000
75,23917,Journal of Intelligent and Fuzzy Systems,journal,"18758967, 10641246",0.228,Q3,64,95,719,34,95,0.31,19.43,Netherlands,Western Europe,IOS Press BV,1993-2021,Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q4),2000
76,12931,Cybernetics and Systems,journal,"10876553, 01969722",0.21,Q3,41,127,904,36,126,0.18,21.52,United Kingdom,Western Europe,Taylor and Francis Ltd.,1980-2021,Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3),2000
77,24449,Kybernetika,journal,"00235954, 1805949X",0.2,Q3,38,160,830,28,160,0.19,18.44,Czech Republic,Eastern Europe,Academy of Sciences of the Czech Republic,"1972-1989, 1996-2021",Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4),2000
78,24800,Neural Computing and Applications,journal,"09410643, 14333058",0.199,Q3,94,109,630,48,109,0.34,20.32,United Kingdom,Western Europe,Springer London,1993-2021,Artificial Intelligence (Q3); Software (Q3),2000
79,25476,Intelligent Automation and Soft Computing,journal,"10798587, 2326005X",0.198,Q3,28,85,444,16,85,0.2,15.31,United States,Northern America,Tech Science Press,1995-2022,Artificial Intelligence (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2000
80,12981,Kybernetes,journal,0368492X,0.19,Q4,43,390,1463,30,390,0.07,8.61,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1972-2021,Engineering (miscellaneous) (Q2); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Social Sciences (miscellaneous) (Q3); Software (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4),2000
81,21100204931,Sistemi Intelligenti,journal,"11209550, 19738226",0.188,Q4,7,99,613,7,79,0.09,21.89,Italy,Western Europe,Il Mulino publishing house,1997-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2000
82,71051,Psyche,journal,1039723X,0.176,Q4,18,6,196,1,6,0.25,19.6,United States,Northern America,Association for the Scientific Study of Conciousness,"1997-1998, 2000-2010",Philosophy (Q2); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2000
83,18197,Integrated Computer-Aided Engineering,journal,"10692509, 18758835",0.174,Q4,45,69,542,24,69,0.21,22.58,Netherlands,Western Europe,IOS Press BV,1993-2021,Software (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Theoretical Computer Science (Q4),2000
84,145544,Journal of Semantics,journal,"01675133, 14774593",0.174,Q4,43,33,0,7,33,0.22,0.0,United Kingdom,Western Europe,Oxford University Press,"1982-1986, 1990-2021",Arts and Humanities (miscellaneous) (Q3); Linguistics and Language (Q3); Artificial Intelligence (Q4),2000
85,24809,Journal of Memetics,journal,13664786,0.172,Q4,15,46,162,10,24,0.11,23.14,United Kingdom,Western Europe,Manchester Metropolitan University,1997-2005,"Philosophy (Q2); Anthropology (Q3); Artificial Intelligence (Q4); Ecology, Evolution, Behavior and Systematics (Q4)",2000
86,24951,Automatic Control and Computer Sciences (English translation of Avtomatika i Vychislitel'naya Tekhnika),journal,01324160,0.164,Q4,6,162,69,9,162,0.07,8.63,Russian Federation,Eastern Europe,Izdatel'stvo Nauka,"1978-1980, 1991-2005",Control and Systems Engineering (Q3); Artificial Intelligence (Q4),2000
87,15552,Microprocessors and Microsystems,journal,01419331,0.164,Q4,41,199,771,36,198,0.15,18.36,Netherlands,Western Europe,Elsevier,1978-2021,Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3); Artificial Intelligence (Q4),2000
88,13880,Artificial Intelligence and Law,journal,"09248463, 15728382",0.16,Q4,41,43,329,16,43,0.45,32.9,Netherlands,Western Europe,Springer Netherlands,"1992-1993, 1995-2021",Law (Q3); Artificial Intelligence (Q4),2000
89,27190,Machine Translation,journal,"09226567, 15730573",0.16,Q4,31,32,393,27,31,0.38,30.23,Netherlands,Western Europe,Springer Netherlands,1989-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4),2000
90,12237,Complexity International,journal,13200682,0.158,Q4,16,39,632,8,39,0.23,25.28,Australia,Pacific Region,Charles Sturt University,"1996-1998, 2000, 2002, 2004-2005, 2008",Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Software (Q4),2000
91,25507,Informatica (Slovenia),journal,"18543871, 03505596",0.154,Q4,36,151,1135,29,151,0.23,21.02,Slovenia,Eastern Europe,Slovene Society Informatika,1995-2021,Artificial Intelligence (Q4); Computer Science Applications (Q4); Software (Q4); Theoretical Computer Science (Q4),2000
93,25482,International Journal of Robotics and Automation,journal,"19257090, 08268185",0.144,Q4,26,55,269,10,55,0.14,16.81,Canada,Northern America,ACTA Press,1995-2021,Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4),2000
94,28380,Natural Language Engineering,journal,"14698110, 13513249",0.144,Q4,57,49,515,29,49,0.43,24.52,United Kingdom,Western Europe,Cambridge University Press,1995-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4),2000
95,12962,Journal of Intelligent Systems,journal,"03341860, 2191026X",0.136,Q4,21,51,819,13,51,0.21,39.0,Germany,Western Europe,Walter de Gruyter GmbH,"1991-2002, 2004-2021",Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4),2000
96,15109,IEICE Transactions on Information and Systems,journal,"17451361, 09168532",0.135,Q4,50,490,5081,111,489,0.22,18.28,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2021,Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4),2000
97,12886,Cognitive Systems Research,journal,13890417,0.124,Q4,56,4,44,2,4,0.5,4.89,Netherlands,Western Europe,Elsevier,1999-2021,Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2000
98,24802,Neural Network World,journal,"23364335, 12100552",0.121,Q4,27,125,606,15,124,0.1,14.09,Czech Republic,Eastern Europe,Czech Technical University in Prague,1994-2021,Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4),2000
103,24847,Revue d'Intelligence Artificielle,journal,0992499X,0.103,Q4,15,45,550,3,45,0.1,30.56,France,Western Europe,Lavoisier,1995-2021,Artificial Intelligence (Q4); Software (Q4),2000
105,18056,Jiqiren/Robot,journal,10020446,0.101,Q4,27,30,0,0,30,0.0,0.0,China,Asiatic Region,Chinese Academy of Sciences,"1998, 2001-2021",Applied Mathematics (Q4); Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4); Modeling and Simulation (Q4); Software (Q4),2000
106,79015,Kongzhi yu Juece/Control and Decision,journal,10010920,0.101,Q4,45,122,392,5,122,0.05,7.4,China,Asiatic Region,Northeast University,1997-2021,Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Software (Q4),2000
107,19700180802,Machine Intelligence and Pattern Recognition,book series,09230459,0.101,Q4,7,16,0,1,14,0.0,0.0,Netherlands,Western Europe,Elsevier,"1986, 1994, 1996-1997",Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4),2000
108,23616,AI and Society,journal,"09515666, 14355655",0.1,Q4,33,57,704,2,57,0.04,32.0,United Kingdom,Western Europe,Springer London,"1987-1996, 1998-2021",Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Philosophy (Q4),2000
1,24242,IEEE Transactions on Fuzzy Systems,journal,10636706,3.847,Q1,202,202,1883,775,196,3.25,24.45,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1993-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1),2001
2,72242,International Journal of Computer Vision,journal,"09205691, 15731405",3.779,Q1,201,180,1980,763,180,3.41,36.0,Netherlands,Western Europe,Springer Netherlands,1987-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2001
3,23127,Journal of the ACM,journal,"00045411, 1557735X",3.551,Q1,131,97,1361,337,95,2.95,36.78,United States,Northern America,Association for Computing Machinery (ACM),1954-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2001
4,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,01628828,3.464,Q1,377,400,3655,2059,400,4.59,28.33,United States,Northern America,IEEE Computer Society,1978-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2001
5,24330,Journal of Artificial Intelligence Research,journal,10769757,2.714,Q1,123,67,964,243,67,3.57,37.08,United States,Northern America,"Morgan Kaufmann Publishers, Inc.","1993, 1996-2021",Artificial Intelligence (Q1),2001
6,12872,Cognitive Psychology,journal,"10955623, 00100285",2.689,Q1,123,58,1057,259,58,3.92,62.18,United States,Northern America,Academic Press Inc.,1970-2021,Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2001
7,24157,Autonomous Agents and Multi-Agent Systems,journal,"15737454, 13872532",2.477,Q1,72,39,520,196,39,3.16,32.5,Netherlands,Western Europe,Springer Netherlands,1998-2021,Artificial Intelligence (Q1),2001
8,22478,Journal of Memory and Language,journal,"10960821, 0749596X",2.269,Q1,156,163,3553,489,163,2.31,56.4,United States,Northern America,Academic Press Inc.,1985-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2001
9,23675,Artificial Intelligence,journal,00043702,1.831,Q1,155,244,2413,678,243,2.95,36.56,Netherlands,Western Europe,Elsevier,1970-2022,Artificial Intelligence (Q1); Linguistics and Language (Q1),2001
10,21100235616,IEEE Transactions on Neural Networks and Learning Systems,journal,"2162237X, 21622388",1.814,Q1,221,449,3958,1116,444,2.33,25.87,United States,Northern America,IEEE Computational Intelligence Society,2012-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1),2001
11,18050,International Journal of Robotics Research,journal,"02783649, 17413176",1.702,Q1,170,259,1811,442,257,1.68,31.22,United States,Northern America,SAGE Publications Inc.,1982-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1),2001
12,24775,Machine Learning,journal,"15730565, 08856125",1.683,Q1,153,132,1271,408,131,3.38,24.92,Netherlands,Western Europe,Springer Netherlands,1986-2021,Artificial Intelligence (Q1); Software (Q1),2001
14,12874,Cognitive Science,journal,"03640213, 15516709",1.547,Q1,120,55,2047,159,55,2.55,70.59,United States,Northern America,Wiley-Blackwell,1977-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2),2001
15,23629,AI Magazine,journal,07384602,1.525,Q1,79,91,981,195,91,2.25,20.44,United States,Northern America,AI Access Foundation,"1984-1986, 1989-2020",Artificial Intelligence (Q1),2001
16,24354,Journal of Automated Reasoning,journal,"15730670, 01687433",1.357,Q1,56,84,869,125,84,1.45,28.03,Netherlands,Western Europe,Springer Netherlands,1985-2021,Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Software (Q1),2001
17,24823,Pattern Recognition,journal,00313203,1.217,Q1,218,488,4296,938,487,1.66,22.49,United Kingdom,Western Europe,Elsevier Ltd.,1968-2022,Artificial Intelligence (Q1); Signal Processing (Q1); Software (Q1); Computer Vision and Pattern Recognition (Q2),2001
19,21100285028,IEEE Transactions on Human-Machine Systems,journal,21682291,1.141,Q1,127,164,1858,238,164,1.2,33.18,United States,Northern America,"IEEE Systems, Man, and Cybernetics Society",2013-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Human Factors and Ergonomics (Q1); Signal Processing (Q1),2001
22,18016,Autonomous Robots,journal,"15737527, 09295593",1.01,Q1,117,98,1152,142,98,1.45,19.53,Netherlands,Western Europe,Springer Netherlands,1994-2021,Artificial Intelligence (Q1),2001
23,24774,Knowledge Engineering Review,journal,"14698005, 02698889",1.007,Q1,64,67,1057,132,66,1.32,55.63,United Kingdom,Western Europe,Cambridge University Press,"1984, 1987-2021",Artificial Intelligence (Q1); Software (Q1),2001
24,26801,Computational Linguistics,journal,"08912017, 15309312",1.0,Q1,103,60,632,106,60,1.39,31.6,United States,Northern America,MIT Press Journals,"1985, 1996-2021",Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1),2001
26,24804,Neural Networks,journal,"08936080, 18792782",0.954,Q1,154,326,3532,647,320,1.87,33.64,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Artificial Intelligence (Q1); Cognitive Neuroscience (Q2),2001
27,19294,Journal of Scheduling,journal,10946136,0.944,Q1,64,50,365,50,50,0.8,15.87,United States,Northern America,Springer New York,1998-2021,Artificial Intelligence (Q1); Engineering (miscellaneous) (Q1); Software (Q1); Management Science and Operations Research (Q2),2001
28,24305,International Journal of Intelligent Systems,journal,"1098111X, 08848173",0.935,Q1,92,184,1796,139,184,0.67,23.03,United Kingdom,Western Europe,John Wiley and Sons Ltd,1986-2021,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1),2001
29,23673,Applied Artificial Intelligence,journal,"10876545, 08839514",0.921,Q2,59,107,1234,200,103,1.91,28.05,United Kingdom,Western Europe,Taylor and Francis Ltd.,1987-2021,Artificial Intelligence (Q2),2001
30,24361,Journal of Intelligent Information Systems,journal,"15737675, 09259902",0.898,Q2,57,67,749,124,66,1.15,28.81,Netherlands,Western Europe,Springer Netherlands,1992-2021,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2),2001
31,26529,Fuzzy Sets and Systems,journal,01650114,0.892,Q2,174,950,5720,768,950,0.81,15.98,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q2); Logic (Q2),2001
32,24358,Journal of Heuristics,journal,"13811231, 15729397",0.89,Q2,67,71,702,65,71,0.67,24.21,Netherlands,Western Europe,Springer Netherlands,1995-2021,Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2),2001
33,24140,Artificial Intelligence in Medicine,journal,"09333657, 18732860",0.821,Q2,93,129,1764,268,119,1.66,30.95,Netherlands,Western Europe,Elsevier,1989-2021,Medicine (miscellaneous) (Q1); Artificial Intelligence (Q2),2001
34,12409,Multidimensional Systems and Signal Processing,journal,"15730824, 09236082",0.798,Q2,41,69,358,42,69,0.74,17.9,Netherlands,Western Europe,Springer Netherlands,1990-2021,Hardware and Architecture (Q1); Software (Q1); Applied Mathematics (Q2); Artificial Intelligence (Q2); Computer Science Applications (Q2); Information Systems (Q2); Signal Processing (Q2),2001
35,23670,Annals of Mathematics and Artificial Intelligence,journal,"15737470, 10122443",0.747,Q2,56,100,1307,103,100,0.86,35.32,Netherlands,Western Europe,Springer Netherlands,1990-2021,Applied Mathematics (Q2); Artificial Intelligence (Q2),2001
36,24825,Pattern Recognition Letters,journal,01678655,0.743,Q2,163,407,2365,443,407,1.06,16.77,Netherlands,Western Europe,Elsevier,1982-2021,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Software (Q2),2001
37,12795,Perception,journal,"14684233, 03010066",0.727,Q2,94,351,3546,358,316,0.96,27.92,United States,Northern America,SAGE Publications Inc.,1972-2021,Ophthalmology (Q1); Artificial Intelligence (Q2); Experimental and Cognitive Psychology (Q2); Sensory Systems (Q2),2001
39,110111,IEEE Intelligent Systems,journal,15411672,0.711,Q2,129,254,754,422,249,1.84,7.32,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2001-2021,Artificial Intelligence (Q2); Computer Networks and Communications (Q2),2001
40,24173,Connection Science,journal,"13600494, 09540091",0.697,Q2,44,47,661,61,47,1.03,55.08,United Kingdom,Western Europe,Taylor and Francis AS,1989-2021,Human-Computer Interaction (Q1); Artificial Intelligence (Q2); Software (Q2),2001
41,24286,International Journal of Approximate Reasoning,journal,"0888613X, 18734731",0.667,Q2,100,110,908,119,104,1.1,30.27,United States,Northern America,Elsevier Inc.,"1974, 1987-2021",Applied Mathematics (Q2); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2),2001
43,24175,Constraints,journal,"15729354, 13837133",0.645,Q2,46,49,622,44,49,1.1,32.74,Netherlands,Western Europe,Springer Netherlands,1996-2021,Artificial Intelligence (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3),2001
44,26803,Journal of Pragmatics,journal,03782166,0.611,Q2,103,192,3043,100,192,0.5,38.52,Netherlands,Western Europe,Elsevier,1977-2021,Linguistics and Language (Q1); Artificial Intelligence (Q2),2001
45,24142,Artificial Life,journal,"10645462, 15309185",0.566,Q2,57,64,680,90,63,1.26,35.79,United States,Northern America,MIT Press Journals,"1995, 1997-2021","Artificial Intelligence (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)",2001
46,24822,Pattern Analysis and Applications,journal,"1433755X, 14337541",0.533,Q2,58,77,626,80,77,0.88,27.22,United Kingdom,Western Europe,Springer London,1998-2021,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q3),2001
47,23737,Computational Intelligence,journal,"08247935, 14678640",0.523,Q2,53,72,1168,51,71,0.6,28.49,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2021,Artificial Intelligence (Q2); Computational Mathematics (Q3),2001
48,24326,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",journal,02184885,0.515,Q2,61,126,1135,55,126,0.35,17.73,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2),2001
49,24363,Journal of Intelligent Manufacturing,journal,"15728145, 09565515",0.501,Q2,85,141,917,94,141,0.45,23.51,Netherlands,Western Europe,Springer Netherlands,1990-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Software (Q2),2001
